threshold,fpr,tpr
inf,0.0,0.0
0.9974185,0.0,0.0035842293906810036
0.99448943,0.0,0.06093189964157706
0.99427456,0.0036900369003690036,0.06093189964157706
0.98639166,0.0036900369003690036,0.3870967741935484
0.986369,0.007380073800738007,0.3870967741935484
0.979913,0.007380073800738007,0.5448028673835126
0.97947377,0.01107011070110701,0.5448028673835126
0.97754115,0.01107011070110701,0.5663082437275986
0.977155,0.014760147601476014,0.5663082437275986
0.9679307,0.014760147601476014,0.6451612903225806
0.9662754,0.02214022140221402,0.6451612903225806
0.96492875,0.02214022140221402,0.6559139784946236
0.96345633,0.025830258302583026,0.6559139784946236
0.962057,0.025830258302583026,0.6630824372759857
0.96102935,0.02952029520295203,0.6630824372759857
0.9596052,0.02952029520295203,0.6666666666666666
0.95881927,0.033210332103321034,0.6666666666666666
0.9556104,0.033210332103321034,0.6881720430107527
0.951068,0.04059040590405904,0.6881720430107527
0.9490873,0.04059040590405904,0.6953405017921147
0.9436548,0.04797047970479705,0.6953405017921147
0.93477297,0.04797047970479705,0.7168458781362007
0.93228716,0.055350553505535055,0.7168458781362007
0.9035685,0.055350553505535055,0.7526881720430108
0.9016397,0.05904059040590406,0.7526881720430108
0.8957108,0.05904059040590406,0.7598566308243727
0.8919161,0.06273062730627306,0.7598566308243727
0.88979316,0.06273062730627306,0.7634408602150538
0.8802338,0.07380073800738007,0.7634408602150538
0.87658066,0.07380073800738007,0.7706093189964157
0.8757388,0.07749077490774908,0.7706093189964157
0.87564427,0.07749077490774908,0.7741935483870968
0.8572034,0.08118081180811808,0.7741935483870968
0.83593476,0.08118081180811808,0.7849462365591398
0.83539635,0.08487084870848709,0.7849462365591398
0.82198805,0.08487084870848709,0.7921146953405018
0.8025813,0.08856088560885608,0.7921146953405018
0.7762018,0.08856088560885608,0.8064516129032258
0.75255305,0.0959409594095941,0.8064516129032258
0.74181014,0.0959409594095941,0.8100358422939068
0.7332129,0.0996309963099631,0.8100358422939068
0.6917463,0.0996309963099631,0.8243727598566308
0.6621931,0.1033210332103321,0.8243727598566308
0.6394103,0.1033210332103321,0.8351254480286738
0.57414085,0.11808118081180811,0.8351254480286738
0.5578333,0.11808118081180811,0.8387096774193549
0.4971423,0.12177121771217712,0.8387096774193549
0.4595335,0.12177121771217712,0.8530465949820788
0.43060884,0.12546125461254612,0.8530465949820788
0.38039717,0.12546125461254612,0.8602150537634409
0.34432423,0.13284132841328414,0.8602150537634409
0.34007266,0.13284132841328414,0.8637992831541219
0.30616653,0.14022140221402213,0.8637992831541219
0.30202058,0.14022140221402213,0.8673835125448028
0.2914619,0.14391143911439114,0.8673835125448028
0.2858085,0.14391143911439114,0.8709677419354839
0.28004783,0.14760147601476015,0.8709677419354839
0.2780253,0.14760147601476015,0.8745519713261649
0.2534722,0.15129151291512916,0.8745519713261649
0.2283262,0.15129151291512916,0.8853046594982079
0.21279494,0.15498154981549817,0.8853046594982079
0.19504838,0.15498154981549817,0.8924731182795699
0.19457221,0.15867158671586715,0.8924731182795699
0.1943808,0.15867158671586715,0.8960573476702509
0.18493538,0.16236162361623616,0.8960573476702509
0.18017176,0.16236162361623616,0.899641577060932
0.17408562,0.16605166051660517,0.899641577060932
0.17079164,0.16605166051660517,0.9032258064516129
0.16185506,0.17343173431734318,0.9032258064516129
0.1379561,0.17343173431734318,0.910394265232975
0.121141896,0.18450184501845018,0.910394265232975
0.11940054,0.18450184501845018,0.9175627240143369
0.11878944,0.1881918819188192,0.9175627240143369
0.115245864,0.1881918819188192,0.9247311827956989
0.101393744,0.1918819188191882,0.9247311827956989
0.091040224,0.1918819188191882,0.931899641577061
0.08000872,0.2066420664206642,0.931899641577061
0.079030514,0.2066420664206642,0.9354838709677419
0.071809955,0.22140221402214022,0.9354838709677419
0.06713516,0.22140221402214022,0.946236559139785
0.06547671,0.22878228782287824,0.946236559139785
0.06455072,0.22878228782287824,0.9498207885304659
0.045972243,0.26199261992619927,0.9498207885304659
0.04585681,0.26199261992619927,0.953405017921147
0.043539297,0.2730627306273063,0.953405017921147
0.04201844,0.2730627306273063,0.956989247311828
0.041380376,0.2767527675276753,0.956989247311828
0.040827103,0.2767527675276753,0.9605734767025089
0.03472235,0.3062730627306273,0.9605734767025089
0.03470336,0.3062730627306273,0.96415770609319
0.03233015,0.3210332103321033,0.96415770609319
0.032230914,0.3210332103321033,0.967741935483871
0.029197477,0.34686346863468637,0.967741935483871
0.02894219,0.34686346863468637,0.9713261648745519
0.021723466,0.4095940959409594,0.9713261648745519
0.020119756,0.4095940959409594,0.978494623655914
0.019547695,0.41697416974169743,0.978494623655914
0.019530915,0.41697416974169743,0.982078853046595
0.014130702,0.4907749077490775,0.982078853046595
0.0141302105,0.4907749077490775,0.985663082437276
0.008281468,0.6457564575645757,0.985663082437276
0.008260934,0.6457564575645757,0.989247311827957
0.0047218883,0.8081180811808119,0.989247311827957
0.004676455,0.8081180811808119,0.992831541218638
0.0039954972,0.8487084870848709,0.992831541218638
0.0039909626,0.8487084870848709,0.996415770609319
0.00056303584,1.0,0.996415770609319
0.00014652571,1.0,1.0
